bank,proxy_year,director_name,director_age
US Bancorp,2019,his vested,60
US Bancorp,2019,the applicable,55
US Bancorp,2019,and supplemental,62
US Bancorp,2019,Cecere reaches,65
US Bancorp,2019,Kedia is,63
US Bancorp,2019,revocation to,82
US Bancorp,2020,deferred compensation,59
US Bancorp,2020,to auditor,66
US Bancorp,2020,of Directors,78
US Bancorp,2020,Warner L. Baxter,58
US Bancorp,2020,Andrew Cecere,59
US Bancorp,2020,John P. Wiehoff,58
US Bancorp,2020,Scott W. Wine,52
US Bancorp,2020,of a Fortune,50
US Bancorp,2020,at least,75
US Bancorp,2020,act within,90
US Bancorp,2020,our independent,68
US Bancorp,2020,our executives,69
US Bancorp,2020,Bancorp at,78
US Bancorp,2020,Award Amounts,39
US Bancorp,2020,is eligible,65
US Bancorp,2020,his vested,60
US Bancorp,2020,the applicable,55
US Bancorp,2020,and supplemental,62
US Bancorp,2020,Cecere reaches,65
US Bancorp,2020,Kedia is,63
US Bancorp,2020,revocation to,78
US Bancorp,2021,deferred compensation,56
US Bancorp,2021,to auditor,64
US Bancorp,2021,of Directors,75
US Bancorp,2021,Warner L. Baxter,59
US Bancorp,2021,Elizabeth L. Buse,60
US Bancorp,2021,John P. Wiehoff,59
US Bancorp,2021,age of,72
US Bancorp,2021,of a Fortune,50
US Bancorp,2021,at least,75
US Bancorp,2021,act within,90
US Bancorp,2021,Scott W. Wine,40
US Bancorp,2021,about the,70
US Bancorp,2021,receive my,74
US Bancorp,2021,our independent,66
US Bancorp,2021,our executives,67
US Bancorp,2021,Bancorp at,75
US Bancorp,2021,Award Amounts,37
US Bancorp,2021,is eligible,65
US Bancorp,2021,the applicable,55
US Bancorp,2021,and supplemental,62
US Bancorp,2021,Cecere reaches,65
US Bancorp,2021,standard provisions,60
US Bancorp,2021,five accelerated,65
US Bancorp,2021,table above,65
US Bancorp,2021,Kedia is,63
US Bancorp,2021,revocation to,75
US Bancorp,2022,age of,72
US Bancorp,2022,of a Fortune,50
US Bancorp,2022,at least,75
US Bancorp,2022,act within,90
US Bancorp,2022,PORTION ONLYD,66
US Bancorp,2022,about the,69
US Bancorp,2022,receive my,73
US Bancorp,2022,our independent,65
US Bancorp,2022,our executives,66
US Bancorp,2022,For more,69
US Bancorp,2022,more information,70
US Bancorp,2022,Bancorp at,74
US Bancorp,2022,is eligible,65
US Bancorp,2022,to their,55
US Bancorp,2022,and supplemental,62
US Bancorp,2022,Cecere reaches,65
US Bancorp,2022,standard provisions,60
US Bancorp,2022,five accelerated,65
US Bancorp,2022,table above,65
US Bancorp,2022,Kedia is,63
US Bancorp,2022,revocation to,74
US Bancorp,2023,after reaching,72
US Bancorp,2023,age of,72
US Bancorp,2023,of a Fortune,50
US Bancorp,2023,at least,75
US Bancorp,2023,act within,90
US Bancorp,2023,our executives,42
US Bancorp,2023,votes on,43
US Bancorp,2023,our independent,84
US Bancorp,2023,For more,87
US Bancorp,2023,Kirtley informed,72
US Bancorp,2023,compensation decisions,44
US Bancorp,2023,and supplemental,62
US Bancorp,2023,Cecere reaches,65
US Bancorp,2023,standard provisions,60
US Bancorp,2023,five accelerated,65
US Bancorp,2023,table above,65
US Bancorp,2023,is eligible,65
US Bancorp,2023,to their,55
US Bancorp,2023,Kedia is,63
US Bancorp,2023,accelerated years,60
US Bancorp,2023,Kedia have,62
US Bancorp,2023,the Compensation,44
US Bancorp,2024,age of,72
US Bancorp,2024,of a Fortune,50
US Bancorp,2024,at least,75
US Bancorp,2024,act within,90
US Bancorp,2024,BANCORPINVESTOR RELATIONS,80
US Bancorp,2024,our executives,41
US Bancorp,2024,our independent,83
US Bancorp,2024,Stock Incentive,84
US Bancorp,2024,compensation decisions,42
US Bancorp,2024,Cecere reaches,65
US Bancorp,2024,standard provisions,60
US Bancorp,2024,five accelerated,65
US Bancorp,2024,table above,65
US Bancorp,2024,retirement benefits,65
US Bancorp,2024,to their,55
US Bancorp,2024,Kedia was,63
US Bancorp,2024,accelerated years,60
US Bancorp,2024,Kedia have,62
US Bancorp,2024,Compensation discussion,42
US Bancorp,2024,As discussed,53
US Bancorp,2025,age of,72
US Bancorp,2025,of a Fortune,50
US Bancorp,2025,at least,75
US Bancorp,2025,act within,90
US Bancorp,2025,PORTION ONLYV,64
US Bancorp,2025,our executives,38
US Bancorp,2025,our independent,82
US Bancorp,2025,of risks,83
US Bancorp,2025,For more,88
US Bancorp,2025,compensation decisions,39
US Bancorp,2025,Excess Benefit,62
US Bancorp,2025,Cecere reaches,65
US Bancorp,2025,standard provisions,60
US Bancorp,2025,five accelerated,65
US Bancorp,2025,table above,65
US Bancorp,2025,retirement benefits,65
US Bancorp,2025,months prior,55
US Bancorp,2025,Kedia was,64
US Bancorp,2025,accelerated year,60
US Bancorp,2025,Kedia have,62
US Bancorp,2025,Compensation discussion,42
PNC Financial,2021,more than,65
PNC Financial,2021,on page,38
PNC Financial,2021,PAY RATIO,79
PNC Financial,2021,executive officers,80
PNC Financial,2021,five to,36
PNC Financial,2021,Joseph Alvarado,68
PNC Financial,2021,Charles E. Bunch,71
PNC Financial,2021,Debra A. Cafaro,63
PNC Financial,2021,Rodgers Cheshire,52
PNC Financial,2021,David L. Cohen,65
PNC Financial,2021,William S. Demchak,58
PNC Financial,2021,Andrew T. Feldstein,56
PNC Financial,2021,Richard J. Harshman,64
PNC Financial,2021,Daniel R. Hesse,67
PNC Financial,2021,Linda R. Medler,64
PNC Financial,2021,Whitley Age,57
PNC Financial,2021,Michael J. Ward,70
PNC Financial,2021,at least,75
PNC Financial,2021,Proxy Statement,35
PNC Financial,2021,ASC Topic,71
PNC Financial,2021,must exceed,50
PNC Financial,2021,of independent,82
PNC Financial,2021,the compensation,85
PNC Financial,2021,and the,86
PNC Financial,2021,Who can,90
PNC Financial,2021,Participate in,89
PNC Financial,2021,the Compensation,38
PNC Financial,2021,on risk,86
PNC Financial,2021,of Contents,39
PNC Financial,2021,compensation decisions,47
PNC Financial,2021,compensation amounts,62
PNC Financial,2021,Related Person,36
PNC Financial,2021,Security Ownership,80
PNC Financial,2021,Contents ELECTION,52
PNC Financial,2021,Subcommittee Public,57
PNC Financial,2021,rotation of,82
PNC Financial,2021,related services,83
PNC Financial,2021,The Audit,84
PNC Financial,2021,and Analysis,38
PNC Financial,2021,The Compensation,59
PNC Financial,2021,See Compensation,60
PNC Financial,2021,compensation and,60
PNC Financial,2021,Security ownership,81
PNC Financial,2021,performance to,43
PNC Financial,2021,and equity,50
PNC Financial,2021,for certain,47
PNC Financial,2021,Described in,57
PNC Financial,2021,equity delivered,50
PNC Financial,2021,performance against,46
PNC Financial,2021,As discussed,45
PNC Financial,2021,total compensation,47
PNC Financial,2021,what we,62
PNC Financial,2021,discussion under,44
PNC Financial,2021,Committee evaluates,60
PNC Financial,2021,and Termination,74
PNC Financial,2021,be forfeited,45
PNC Financial,2021,incentive compensation,56
PNC Financial,2021,We describe,71
PNC Financial,2021,qualified deferred,72
PNC Financial,2021,See Grants,64
PNC Financial,2021,Outstanding equity,65
PNC Financial,2021,and Option,68
PNC Financial,2021,executive retirement,50
PNC Financial,2021,Participants who,50
PNC Financial,2021,DCP participants,73
PNC Financial,2021,have been,62
PNC Financial,2021,month until,65
PNC Financial,2021,following an,55
PNC Financial,2021,amount reported,62
PNC Financial,2021,highlights for,38
PNC Financial,2021,accompanying compensation,62
PNC Financial,2022,We held,60
PNC Financial,2022,on page,41
PNC Financial,2022,at least,75
PNC Financial,2022,transactions policy,37
PNC Financial,2022,PAY RATIO,80
PNC Financial,2022,executive officers,81
PNC Financial,2022,Joseph Alvarado,69
PNC Financial,2022,Debra A. Cafaro,64
PNC Financial,2022,Rodgers Cheshire,53
PNC Financial,2022,William S. Demchak,59
PNC Financial,2022,Andrew T. Feldstein,57
PNC Financial,2022,Richard J. Harshman,65
PNC Financial,2022,Daniel R. Hesse,68
PNC Financial,2022,Robert A. Niblock,59
PNC Financial,2022,Bryan S. Salesky,41
PNC Financial,2022,Linda R. Medler,65
PNC Financial,2022,Martin Pfinsgraff,67
PNC Financial,2022,Whitley Age,58
PNC Financial,2022,Michael J. Ward,71
PNC Financial,2022,age of,72
PNC Financial,2022,Proxy Statement,35
PNC Financial,2022,ASC Topic,71
PNC Financial,2022,must exceed,50
PNC Financial,2022,of independent,83
PNC Financial,2022,the compensation,86
PNC Financial,2022,and the,87
PNC Financial,2022,Participate in,90
PNC Financial,2022,the Compensation,41
PNC Financial,2022,on risk,87
PNC Financial,2022,of Contents,42
PNC Financial,2022,Contents PROXY,50
PNC Financial,2022,compensation amounts,65
PNC Financial,2022,Related Person,39
PNC Financial,2022,Security Ownership,81
PNC Financial,2022,Contents ELECTION,53
PNC Financial,2022,Subcommittee Public,58
PNC Financial,2022,rotation of,83
PNC Financial,2022,related services,84
PNC Financial,2022,The Audit,85
PNC Financial,2022,and Analysis,41
PNC Financial,2022,Committee is,62
PNC Financial,2022,See Compensation,63
PNC Financial,2022,policies and,35
PNC Financial,2022,compensation and,63
PNC Financial,2022,and Executive,36
PNC Financial,2022,Security ownership,82
PNC Financial,2022,Evaluating performance,46
PNC Financial,2022,and equity,53
PNC Financial,2022,Committee compared,53
PNC Financial,2022,metrics for,50
PNC Financial,2022,Described in,60
PNC Financial,2022,our performance,49
PNC Financial,2022,As discussed,48
PNC Financial,2022,what we,65
PNC Financial,2022,Committee evaluates,63
PNC Financial,2022,and Termination,76
PNC Financial,2022,be forfeited,48
PNC Financial,2022,incentive compensation,59
PNC Financial,2022,We describe,73
PNC Financial,2022,qualified deferred,74
PNC Financial,2022,See Grants,67
PNC Financial,2022,Outstanding equity,68
PNC Financial,2022,and Option,70
PNC Financial,2022,executive retirement,50
PNC Financial,2022,Participants who,50
PNC Financial,2022,DCP participants,75
PNC Financial,2022,have been,65
PNC Financial,2022,month until,65
PNC Financial,2022,following an,55
PNC Financial,2022,amount reported,65
PNC Financial,2022,highlights for,41
PNC Financial,2022,accompanying compensation,65
PNC Financial,2023,on page,44
PNC Financial,2023,at least,75
PNC Financial,2023,OFFICER RELATIONSHIPS,36
PNC Financial,2023,PERSON TRANSACTIONS,41
PNC Financial,2023,VERSUS PERFORMANCE,89
PNC Financial,2023,Joseph Alvarado,70
PNC Financial,2023,Debra A. Cafaro,65
PNC Financial,2023,William S. Demchak,60
PNC Financial,2023,Andrew T. Feldstein,58
PNC Financial,2023,Richard J. Harshman,66
PNC Financial,2023,Daniel R. Hesse,69
PNC Financial,2023,Renu Khator,67
PNC Financial,2023,Linda R. Medler,66
PNC Financial,2023,Robert A. Niblock,60
PNC Financial,2023,Bryan S. Salesky,42
PNC Financial,2023,Whitley Age,59
PNC Financial,2023,age of,72
PNC Financial,2023,Proxy Statement,35
PNC Financial,2023,ASC Topic,71
PNC Financial,2023,incentive awards,61
PNC Financial,2023,must exceed,50
PNC Financial,2023,ISP or,40
PNC Financial,2023,the Compensation,44
PNC Financial,2023,Contents PROXY,45
PNC Financial,2023,compensation amounts,71
PNC Financial,2023,Director and,36
PNC Financial,2023,Related Person,42
PNC Financial,2023,of Contents,70
PNC Financial,2023,Contents ELECTION,54
PNC Financial,2023,Energy Transition,67
PNC Financial,2023,and Analysis,44
PNC Financial,2023,Committee is,68
PNC Financial,2023,See Compensation,69
PNC Financial,2023,policies and,39
PNC Financial,2023,compensation and,69
PNC Financial,2023,and Executive,40
PNC Financial,2023,Officer Relationships,36
PNC Financial,2023,See Evaluating,49
PNC Financial,2023,and equity,56
PNC Financial,2023,compared to,56
PNC Financial,2023,for certain,53
PNC Financial,2023,The Leadership,60
PNC Financial,2023,More information,65
PNC Financial,2023,detailed discussion,83
PNC Financial,2023,our performance,49
PNC Financial,2023,what we,71
PNC Financial,2023,to each,71
PNC Financial,2023,in conjunction,71
PNC Financial,2023,Please see,60
PNC Financial,2023,how PNC,63
PNC Financial,2023,our clawback,64
PNC Financial,2023,Committee evaluates,69
PNC Financial,2023,and Termination,83
PNC Financial,2023,Other Compensation,71
PNC Financial,2023,be forfeited,51
PNC Financial,2023,incentive compensation,64
PNC Financial,2023,We describe,80
PNC Financial,2023,qualified deferred,81
PNC Financial,2023,See Grants,67
PNC Financial,2023,Outstanding equity,68
PNC Financial,2023,and Option,70
PNC Financial,2023,See the,60
PNC Financial,2023,executive retirement,50
PNC Financial,2023,Participants who,50
PNC Financial,2023,DCP participants,82
PNC Financial,2023,the compensation,71
PNC Financial,2023,have been,71
PNC Financial,2023,month until,65
PNC Financial,2023,following an,55
PNC Financial,2023,amount reported,71
PNC Financial,2023,Our compensation,49
PNC Financial,2023,compensation program,49
PNC Financial,2023,and our,44
PNC Financial,2023,executive officers,71
PNC Financial,2023,highlights for,44
PNC Financial,2023,accompanying compensation,71
PNC Financial,2024,has set,72
PNC Financial,2024,OFFICER RELATIONSHIPS,39
PNC Financial,2024,PERSON TRANSACTIONS,44
PNC Financial,2024,age of,72
PNC Financial,2024,at least,75
PNC Financial,2024,Proxy Statement,37
PNC Financial,2024,more than,56
PNC Financial,2024,Codification Topic,71
PNC Financial,2024,incentive awards,68
PNC Financial,2024,provide the,40
PNC Financial,2024,allow the,40
PNC Financial,2024,ISP or,40
PNC Financial,2024,Retirement policy,72
PNC Financial,2024,compensation amounts,79
PNC Financial,2024,ELECTION OF,71
PNC Financial,2024,Cafaro Director,66
PNC Financial,2024,OF DIRECTORS,55
PNC Financial,2024,Demchak Director,61
PNC Financial,2024,Feldstein Director,59
PNC Financial,2024,Harshman Director,67
PNC Financial,2024,Hesse Director,70
PNC Financial,2024,Medler Director,67
PNC Financial,2024,Niblock Director,61
PNC Financial,2024,Salesky Director,43
PNC Financial,2024,section of,49
PNC Financial,2024,and has,76
PNC Financial,2024,Compensation and,77
PNC Financial,2024,executive retirement,50
PNC Financial,2024,Participants who,50
PNC Financial,2024,DCP participants,90
PNC Financial,2024,month until,65
PNC Financial,2024,following an,55
PNC Financial,2025,investment transactions,45
PNC Financial,2025,of compensation,51
PNC Financial,2025,has set,75
PNC Financial,2025,age of,75
PNC Financial,2025,Proxy Statement,35
PNC Financial,2025,membership was,83
PNC Financial,2025,at least,75
PNC Financial,2025,who is,75
PNC Financial,2025,or her,75
PNC Financial,2025,more than,55
PNC Financial,2025,Codification Topic,71
PNC Financial,2025,incentive awards,76
PNC Financial,2025,provide the,40
PNC Financial,2025,allow the,40
PNC Financial,2025,to the,40
PNC Financial,2025,independent registered,54
PNC Financial,2025,Advisory vote,58
PNC Financial,2025,Retirement policy,75
PNC Financial,2025,compensation amounts,87
PNC Financial,2025,Audit Committee,57
PNC Financial,2025,Committee has,84
PNC Financial,2025,and Analysis,59
PNC Financial,2025,person who,75
PNC Financial,2025,the broader,44
PNC Financial,2025,executive retirement,50
PNC Financial,2025,Participants who,50
PNC Financial,2025,month until,65
PNC Financial,2025,following an,55
Truist Financial,2020,OLITICAL A CTIVITY,37
Truist Financial,2020,EFERRED C OMPENSATION,66
Truist Financial,2020,RATIO DISCLOSURE,73
Truist Financial,2020,VOTE FOR,40
Truist Financial,2020,Jennifer S. Banner,60
Truist Financial,2020,Paul R. Garcia,67
Truist Financial,2020,Kelly S. King,71
Truist Financial,2020,Easter A. Maynard,49
Truist Financial,2020,represent over,45
Truist Financial,2020,"more
than",75
Truist Financial,2020,at least,75
Truist Financial,2020,Proxy Statement,37
Truist Financial,2020,Donna C. Goodrich,55
Truist Financial,2020,annual normal,65
Truist Financial,2020,Teammates with,55
Truist Financial,2020,are distribution,65
Truist Financial,2021,person transactions,35
Truist Financial,2021,political activity,42
Truist Financial,2021,Accounting Firm,43
Truist Financial,2021,Jennifer S. Banner,61
Truist Financial,2021,Paul R. Garcia,68
Truist Financial,2021,Kelly S. King,72
Truist Financial,2021,Easter A. Maynard,50
Truist Financial,2021,More than,45
Truist Financial,2021,more than,75
Truist Financial,2021,at least,75
Truist Financial,2021,online during,78
Truist Financial,2021,How to,78
Truist Financial,2021,annual normal,65
Truist Financial,2021,Teammates with,55
Truist Financial,2021,selected age,65
Truist Financial,2022,political engagement,41
Truist Financial,2022,Accounting Firm,42
Truist Financial,2022,Incentive Plan,81
Truist Financial,2022,VOTE FOR,88
Truist Financial,2022,Jennifer S. Banner,62
Truist Financial,2022,Kelly S. King,73
Truist Financial,2022,Easter A. Maynard,51
Truist Financial,2022,David M. Ratcliffe,73
Truist Financial,2022,more than,75
Truist Financial,2022,had approximately,51
Truist Financial,2022,likely equaled,51
Truist Financial,2022,that received,51
Truist Financial,2022,at least,65
Truist Financial,2022,annual normal,65
Truist Financial,2022,teammates with,55
Truist Financial,2022,specified reduction,55
Truist Financial,2022,increasing until,64
Truist Financial,2022,selected age,65
Truist Financial,2022,an Employee,55
Truist Financial,2022,in the,55
Truist Financial,2022,years of,65
Truist Financial,2023,person transactions,35
Truist Financial,2023,political engagement,44
Truist Financial,2023,Accounting Firm,45
Truist Financial,2023,of Directors,90
Truist Financial,2023,ONE YEAR,89
Truist Financial,2023,Jennifer S. Banner,63
Truist Financial,2023,Paul D. Donahue,66
Truist Financial,2023,Kelly S. King,74
Truist Financial,2023,Easter A. Maynard,52
Truist Financial,2023,Donna S. Morea,68
Truist Financial,2023,David M. Ratcliffe,74
Truist Financial,2023,Thomas E. Skains,66
Truist Financial,2023,age of,75
Truist Financial,2023,more than,75
Truist Financial,2023,Changes to,54
Truist Financial,2023,annual normal,65
Truist Financial,2023,teammates with,55
Truist Financial,2023,specified reduction,55
Truist Financial,2023,increasing until,64
Truist Financial,2023,selected age,65
Truist Financial,2024,political engagement,38
Truist Financial,2024,Accounting Firm,39
Truist Financial,2024,Lobbying Activities,83
Truist Financial,2024,shareholder proposal,84
Truist Financial,2024,to Discrimination,85
Truist Financial,2024,VOTE AGAINST,83
Truist Financial,2024,Jennifer S. Banner,64
Truist Financial,2024,Donna S. Morea,69
Truist Financial,2024,Thomas E. Skains,67
Truist Financial,2024,more than,75
Truist Financial,2024,on page,87
Truist Financial,2024,as described,89
Truist Financial,2024,online during,89
Truist Financial,2024,How to,89
Truist Financial,2024,See the,87
Truist Financial,2024,annual normal,65
Truist Financial,2024,teammates with,55
Truist Financial,2024,specified reduction,55
Truist Financial,2024,increasing until,64
Truist Financial,2024,selected age,65
Truist Financial,2025,Accounting Firm,35
Truist Financial,2025,of control,72
Truist Financial,2025,Jennifer S. Banner,65
Truist Financial,2025,Donna S. Morea,70
Truist Financial,2025,Thomas E. Skains,68
Truist Financial,2025,more than,75
Truist Financial,2025,on page,83
Truist Financial,2025,as described,85
Truist Financial,2025,online during,85
Truist Financial,2025,How to,85
Truist Financial,2025,See the,83
Truist Financial,2025,Annual Incentive,46
Truist Financial,2025,Term Incentive,51
Truist Financial,2025,Time Performance,55
Truist Financial,2025,Key Financial,47
Truist Financial,2025,Peer Group,60
Truist Financial,2025,annual normal,65
Truist Financial,2025,teammates with,55
Truist Financial,2025,specified reduction,55
Truist Financial,2025,increasing until,64
Truist Financial,2025,selected age,65
Capital One,2020,Person Transactions,41
Capital One,2020,Compensation Objectives,47
Capital One,2020,Compensation Structure,47
Capital One,2020,more than,40
Capital One,2020,Richard D. Fairbank,69
Capital One,2020,Eli Leenaars,58
Capital One,2020,Peter E. Raskind,63
Capital One,2020,Shattuck III,65
Capital One,2020,Catherine G. West,60
Capital One,2020,collectively held,40
Capital One,2020,at least,75
Capital One,2020,PROXY STATEMENT,35
Capital One,2020,grant of,48
Capital One,2020,on page,62
Capital One,2020,stockholders receive,50
Capital One,2020,Compensation Discussion,51
Capital One,2020,Named Executive,85
Capital One,2020,Executive Summary,52
Capital One,2020,End Incentive,62
Capital One,2020,Performance Conditions,76
Capital One,2020,Compensation Table,85
Capital One,2020,Chief Executive,60
Capital One,2020,CEO and,60
Capital One,2020,total compensation,71
Capital One,2020,Consideration of,57
Capital One,2020,CEO Compensation,60
Capital One,2020,each defined,63
Capital One,2020,NEO Compensation,71
Capital One,2020,Social and,42
Capital One,2020,Performance Share,62
Capital One,2020,Use of,59
Capital One,2020,the address,46
Capital One,2020,Compensation Committee,38
Capital One,2020,and responsibilities,80
Capital One,2020,Other Benefits,48
Capital One,2020,Summary Compensation,85
Capital One,2020,as defined,63
Capital One,2020,"CEO
Compensation",70
Capital One,2020,Adjusted Return,78
Capital One,2020,Financial Restatement,79
Capital One,2020,substantially from,85
Capital One,2020,earlier under,63
Capital One,2020,described under,62
Capital One,2020,relative to,63
Capital One,2020,Based Vesting,76
Capital One,2020,vesting provisions,76
Capital One,2020,Wassmer has,65
Capital One,2020,in the,85
Capital One,2020,As discussed,71
Capital One,2020,set forth,46
Capital One,2021,Person Transactions,44
Capital One,2021,Compensation Objectives,51
Capital One,2021,Compensation Structure,51
Capital One,2021,Richard D. Fairbank,70
Capital One,2021,Eli Leenaars,59
Capital One,2021,Peter E. Raskind,64
Capital One,2021,Shattuck III,66
Capital One,2021,Catherine G. West,61
Capital One,2021,collectively held,35
Capital One,2021,at least,75
Capital One,2021,grant of,37
Capital One,2021,on page,87
Capital One,2021,stockholders receive,50
Capital One,2021,Compensation Discussion,54
Capital One,2021,Executive Summary,55
Capital One,2021,End Incentive,68
Capital One,2021,Performance Conditions,84
Capital One,2021,Chief Executive,65
Capital One,2021,CEO and,65
Capital One,2021,Performance Share,69
Capital One,2021,total compensation,79
Capital One,2021,of Stockholder,61
Capital One,2021,"of
Performance",77
Capital One,2021,Committee Process,73
Capital One,2021,Our Compensation,65
Capital One,2021,Peer Groups,87
Capital One,2021,address set,50
Capital One,2021,of Performance,77
Capital One,2021,CEO Compensation,65
Capital One,2021,Social and,45
Capital One,2021,the address,50
Capital One,2021,Company Performance,74
Capital One,2021,Committee added,65
Capital One,2021,Compensation Committee,41
Capital One,2021,and responsibilities,87
Capital One,2021,Other Benefits,52
Capital One,2021,Stockholder Engagement,35
Capital One,2021,as defined,69
Capital One,2021,NEO Compensation,79
Capital One,2021,Financial Restatement,86
Capital One,2021,described in,70
Capital One,2021,as described,70
Capital One,2021,it appropriate,69
Capital One,2021,Share Reduction,71
Capital One,2021,described earlier,68
Capital One,2021,described under,68
Capital One,2021,earlier under,69
Capital One,2021,"CEO
Compensation",67
Capital One,2021,vesting provisions,85
Capital One,2021,Wassmer has,65
Capital One,2021,to the,40
Capital One,2021,As discussed,79
Capital One,2021,"set
forth",50
Capital One,2021,set forth,50
Capital One,2022,Person Transactions,44
Capital One,2022,Compensation Objectives,52
Capital One,2022,Compensation Structure,52
Capital One,2022,Richard D. Fairbank,71
Capital One,2022,Ime Archibong,40
Capital One,2022,Peter E. Raskind,65
Capital One,2022,Shattuck III,67
Capital One,2022,Catherine G. West,62
Capital One,2022,at least,75
Capital One,2022,on page,57
Capital One,2022,stockholders receive,50
Capital One,2022,Compensation Discussion,57
Capital One,2022,and Governance,46
Capital One,2022,Executive Summary,58
Capital One,2022,End Incentive,72
Capital One,2022,Performance Conditions,90
Capital One,2022,Chief Executive,70
Capital One,2022,CEO Compensation,70
Capital One,2022,"Performance
Share",73
Capital One,2022,total compensation,84
Capital One,2022,of Stockholder,65
Capital One,2022,of Performance,82
Capital One,2022,Our Compensation,69
Capital One,2022,Committee Process,76
Capital One,2022,address set,51
Capital One,2022,the address,51
Capital One,2022,Company Performance,78
Capital One,2022,Committee added,81
Capital One,2022,Compensation Committee,41
Capital One,2022,Other Benefits,53
Capital One,2022,As discussed,84
Capital One,2022,Performance Share,74
Capital One,2022,Stockholder Engagement,35
Capital One,2022,Settlement of,82
Capital One,2022,TBV and,74
Capital One,2022,described in,74
Capital One,2022,Share Reduction,75
Capital One,2022,it appropriate,73
Capital One,2022,earlier under,72
Capital One,2022,described earlier,72
Capital One,2022,described under,72
Capital One,2022,"Compensation
Committee",41
Capital One,2022,NEO Compensation,84
Capital One,2022,"CEO
Compensation",81
Capital One,2022,Performance Shares,72
Capital One,2022,relative to,74
Capital One,2022,Shares will,74
Capital One,2022,Based Vesting,90
Capital One,2022,Wassmer has,65
Capital One,2022,to the,40
Capital One,2022,set forth,51
Capital One,2023,Director Compensation,60
Capital One,2023,Compensation Structure,60
Capital One,2023,Richard D. Fairbank,72
Capital One,2023,Ime Archibong,41
Capital One,2023,Peter E. Raskind,66
Capital One,2023,Shattuck III,68
Capital One,2023,at least,75
Capital One,2023,PROXY STATEMENT,55
Capital One,2023,on page,78
Capital One,2023,stockholders receive,50
Capital One,2023,Bradford H. Warner,45
Capital One,2023,Board is,50
Capital One,2023,and References,57
Capital One,2023,Compensation Discussion,78
Capital One,2023,and Governance,48
Capital One,2023,Executive Summary,79
Capital One,2023,of Stockholder,86
Capital One,2023,Our Compensation,90
Capital One,2023,and Restated,66
Capital One,2023,address set,56
Capital One,2023,Risk Assessment,37
Capital One,2023,the address,56
Capital One,2023,of Environmental,48
Capital One,2023,Compensation Committee,43
Capital One,2023,Other Benefits,61
Capital One,2023,Stockholder Engagement,37
Capital One,2023,the Compensation,78
Capital One,2023,to the,42
Capital One,2023,set forth,56
Capital One,2024,Person Transactions,46
Capital One,2024,Compensation Objectives,55
Capital One,2024,Compensation Structure,55
Capital One,2024,Richard D. Fairbank,73
Capital One,2024,Christine Detrick,65
Capital One,2024,Peter E. Raskind,67
Capital One,2024,Shattuck III,69
Capital One,2024,at least,75
Capital One,2024,PROXY STATEMENT,39
Capital One,2024,on page,63
Capital One,2024,stockholders receive,50
Capital One,2024,Bradford H. Warner,47
Capital One,2024,recommendation within,90
Capital One,2024,Compensation Discussion,63
Capital One,2024,and Governance,47
Capital One,2024,Executive Summary,64
Capital One,2024,Company Performance,83
Capital One,2024,Chief Executive,75
Capital One,2024,Performance Share,78
Capital One,2024,million See,90
Capital One,2024,Associate Stock,60
Capital One,2024,address set,54
Capital One,2024,of Stockholder,70
Capital One,2024,the address,54
Capital One,2024,Committee uses,85
Capital One,2024,Compensation Committee,42
Capital One,2024,Other Benefits,56
Capital One,2024,As discussed,90
Capital One,2024,Stockholder Engagement,36
Capital One,2024,Settlement of,88
Capital One,2024,Our Compensation,74
Capital One,2024,End Incentive,81
Capital One,2024,TBV and,79
Capital One,2024,CEO Contribution,86
Capital One,2024,as described,79
Capital One,2024,earlier under,77
Capital One,2024,described earlier,77
Capital One,2024,additional information,79
Capital One,2024,described under,77
Capital One,2024,NEO Compensation,90
Capital One,2024,CEO Compensation,87
Capital One,2024,relative to,79
Capital One,2024,Shares will,78
Capital One,2024,the Compensation,63
Capital One,2024,comprised of,78
Capital One,2024,Performance Shares,77
Capital One,2024,to the,41
Capital One,2024,set forth,54
Capital One,2025,Person Transactions,44
Capital One,2025,Compensation Objectives,50
Capital One,2025,Compensation Structure,50
Capital One,2025,Richard D. Fairbank,74
Capital One,2025,Christine Detrick,66
Capital One,2025,Peter E. Raskind,68
Capital One,2025,Shattuck III,70
Capital One,2025,at least,75
Capital One,2025,greater than,75
Capital One,2025,PROXY STATEMENT,37
Capital One,2025,on page,55
Capital One,2025,stockholders receive,50
Capital One,2025,Compensation Discussion,55
Capital One,2025,Table of,56
Capital One,2025,Company Performance,74
Capital One,2025,Performance Conditions,87
Capital One,2025,Chief Executive,67
Capital One,2025,Performance Share,69
Capital One,2025,Performance Shares,81
Capital One,2025,address set,49
Capital One,2025,Corporate Impact,45
Capital One,2025,of Stockholder,62
Capital One,2025,the address,49
Capital One,2025,Compensation Committee,40
Capital One,2025,and responsibilities,90
Capital One,2025,Other Benefits,51
Capital One,2025,As discussed,81
Capital One,2025,Based Vesting,87
Capital One,2025,Settlement of,79
Capital One,2025,Our Compensation,66
Capital One,2025,Peer Groups,90
Capital One,2025,End Incentive,73
Capital One,2025,TBV and,71
Capital One,2025,Financial Restatement,89
Capital One,2025,CEO Contribution,77
Capital One,2025,as described,71
Capital One,2025,earlier under,68
Capital One,2025,described earlier,69
Capital One,2025,NEO Compensation,85
Capital One,2025,additional information,71
